Cars,Construction,Unemployment,Newspapers,Jobs,Inflation,Aviation,Birthday,Business News,Loan,Real estate,elections,Car Loan,ehsaas program,Financial crisis,Weddings,budget,revenue,House Loan,Economy News,Travel,Fitness,subsidy,PSB,Interest,current account,Politics,parliament,protest,Economic crisis,stock market,trade,Investment,World News,Crisis,Cinema,BISP,Credit,Textile,LSM,Tourism,Agriculture,Cigarette,CPI,government,Manufacturing,deficit,FMCG,Fast Food,Food,USAID,Recession,economic growth,Hotels,taxes,House for sale
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0
0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0
0,100,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,100,0,0
0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,100,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,70,0,0
0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0
59,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0
0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0
0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0
56,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,92,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,73,0,0
56,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,41,100,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0
55,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,47,0,0
32,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0
44,0,0,0,68,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,80,0,0
42,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,86,0,0,92,0,0,0,45,0,0,0,0,49,0,0,0,46,0,0
53,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,87,0,0,0,0,0,0,56,48,0,0,0,0,0,0,0,66,0,0
0,0,0,0,56,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,54,0,0,100,0,0,0,44,0,0,0,0,40,0,0,0,63,0,0
52,51,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,33,60,0,0,0,0,61,0,0,0,0,0,0,0,70,0,0,0,74,0,0,0,57,0,0
34,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,68,0,0,89,0,0,0,0,0,0,0,0,46,0,0,0,50,0,0
54,87,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,60,0,0,81,0,0,0,0,0,0,0,0,52,0,0,0,50,0,0
49,54,0,64,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,58,0,0,0,0,0,0,30,0,0,0,0,57,0,0,0,30,0,0
39,0,0,55,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,52,0,0,0,82,0,0,39,0,0,0,0,48,0,0,0,47,0,0
38,61,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,29,79,0,0,0,0,71,0,0,67,100,0,0,34,0,0,0,0,62,0,0,0,37,0,0
52,31,0,45,47,0,0,0,0,0,0,0,0,0,0,0,62,0,0,35,60,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,60,0,0,63,48,0,0,30,0,0,0,0,50,0,0,0,61,0,0
44,40,0,47,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,100,0,0,0,0,34,0,0,0,0,0,24,0,0,93,0,100,0,36,0,0,0,0,53,0,0,0,51,0,0
51,40,0,93,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,41,42,0,0,0,0,55,0,0,46,0,0,0,31,0,0,0,0,54,0,0,0,52,0,0
54,0,0,80,41,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,56,0,0,91,0,0,0,36,0,0,0,0,41,0,0,0,52,0,0
34,26,0,55,67,0,0,22,0,48,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,32,49,0,0,0,0,56,0,0,63,58,0,0,25,41,0,0,0,34,0,0,0,53,0,0
40,43,0,59,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,31,46,0,0,0,0,61,0,0,57,0,0,0,37,0,0,0,0,22,0,0,0,38,0,0
42,31,0,81,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,78,0,0,0,0,27,50,0,0,0,0,44,0,0,0,0,0,0,26,0,0,0,0,55,0,0,0,33,0,0
49,35,0,63,55,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,27,51,0,0,0,0,48,0,0,40,0,0,0,31,0,0,0,0,38,0,0,0,35,0,0
43,34,0,57,41,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,54,0,0,0,0,0,0,0,0,0,0,29,31,0,0,0,0,55,0,0,35,0,0,0,33,0,0,0,0,30,0,0,0,49,0,0
50,27,0,44,52,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,24,49,0,0,0,0,54,0,0,49,51,0,0,0,22,0,0,0,32,100,0,0,31,0,0
56,30,0,73,50,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,59,0,0,0,0,27,38,0,0,0,0,56,0,0,42,0,0,0,21,0,0,0,0,37,0,0,0,37,0,0
36,52,0,59,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,35,63,0,0,0,0,44,0,0,44,0,0,100,20,0,0,0,0,40,0,0,0,37,0,0
46,20,0,55,61,0,58,18,0,0,53,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,50,0,0,0,0,26,33,98,0,0,0,52,0,0,33,0,0,0,17,15,0,0,0,32,0,0,0,35,0,0
40,29,0,91,46,0,0,17,0,0,59,11,0,0,0,0,0,0,0,0,38,0,0,0,0,0,52,0,0,0,0,29,30,0,0,0,0,55,0,0,38,33,0,0,17,0,0,0,0,29,0,0,0,35,0,0
67,29,0,54,58,0,53,11,0,0,65,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,21,61,0,0,0,0,57,0,0,55,31,0,0,23,0,0,0,0,39,0,0,0,40,0,0
44,30,0,53,63,92,0,23,0,34,93,0,0,0,0,0,32,0,0,0,43,0,0,0,0,0,0,0,0,0,0,27,40,0,53,0,0,45,0,0,37,29,0,0,24,17,0,100,0,30,0,0,0,41,0,0
46,27,0,66,58,0,0,11,0,36,53,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,15,47,0,0,0,0,40,0,0,25,25,0,0,30,21,0,0,0,36,0,0,0,31,0,0
51,36,0,42,63,0,86,13,0,37,82,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,18,46,0,0,0,0,48,0,0,27,23,0,0,25,12,0,0,0,34,0,0,0,34,0,0
49,34,0,39,61,0,50,15,0,50,48,0,0,0,0,0,29,0,0,0,35,0,0,0,0,0,62,0,0,0,0,27,49,0,40,0,0,47,0,0,52,46,0,0,27,16,0,0,0,39,0,0,0,28,0,0
45,33,12,34,64,0,63,14,0,39,50,0,0,0,0,0,25,96,0,0,48,0,0,0,56,0,58,0,0,0,0,17,49,0,0,0,0,44,0,0,36,46,0,0,31,14,0,0,0,50,0,0,0,40,0,0
38,25,0,47,62,46,41,15,0,38,47,0,0,0,0,0,90,0,0,0,42,0,0,0,72,0,68,0,0,0,0,20,41,0,43,0,0,39,0,0,47,41,0,0,36,12,0,0,0,45,0,0,0,32,0,0
36,35,0,42,53,0,0,16,0,32,47,0,0,0,0,0,61,71,0,0,46,0,0,0,0,0,0,0,0,0,0,19,47,0,0,0,0,42,0,0,36,37,0,0,26,16,0,0,0,33,0,0,0,39,0,0
44,26,0,54,73,0,0,11,0,42,77,16,0,0,0,0,0,0,0,0,38,0,0,0,100,0,34,0,0,0,0,22,48,0,41,0,0,51,0,0,33,32,0,0,30,12,0,0,0,52,0,0,0,40,0,0
