Cars,Construction,Unemployment,Newspapers,Jobs,Inflation,Aviation,Birthday,Business News,Loan,Real estate,elections,Car Loan,ehsaas program,Financial crisis,Weddings,budget,revenue,House Loan,Economy News,Travel,Fitness,subsidy,PSB,Interest,current account,mehngai,Politics,parliament,protest,Economic crisis,stock market,trade,M0,Investment,World News,Crisis,Cinema,BISP,Credit,Textile,LSM,Tourism,Agriculture,Cigarette,CPI,government,Manufacturing,deficit,FMCG,Fast Food,Food,USAID,Recession,economic growth,Hotels,taxes,House for sale
72,0,0,100,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,39,0,72,0,0,0,0,61,0,0,81,0,0,0,57,0,0,0,0,80,100,0,0,42,0,0
60,0,0,61,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,94,0,0,75,62,0,0,52,0,0,0,0,56,0,0,0,48,0,0
91,0,0,86,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,88,0,73,0,0,0,0,0,0,0,76,0,0,0,54,0,0,0,0,84,0,0,0,49,0,0
85,83,0,0,43,0,0,58,0,37,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,100,0,0,0,0,47,0,79,0,0,0,0,67,0,0,64,65,0,0,59,0,0,0,0,60,0,0,0,37,0,0
77,100,0,55,41,0,88,0,0,29,0,0,0,0,0,0,0,62,0,0,64,0,0,0,0,0,0,0,0,0,0,0,58,0,92,70,0,0,0,61,0,0,92,45,0,0,73,0,0,0,0,93,0,0,0,55,0,0
67,0,0,63,42,0,70,50,0,30,0,0,0,0,0,0,86,73,0,0,44,0,0,0,0,0,0,0,0,0,0,0,40,0,79,0,0,0,0,63,0,0,69,88,0,0,83,0,0,0,0,83,0,0,0,40,0,0
80,94,0,67,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,69,0,0,69,55,0,0,53,0,0,0,0,68,0,0,0,74,0,0
46,60,0,66,38,0,0,45,0,0,0,0,100,0,0,0,0,32,0,0,43,0,0,0,100,0,0,51,0,0,0,0,56,0,0,0,0,0,0,100,0,0,81,56,0,0,60,91,0,0,0,82,0,0,100,67,0,0
69,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,63,0,0,0,0,0,0,63,0,0,0,0,52,0,71,0,80,0,0,49,0,100,76,43,0,0,65,0,0,0,0,95,0,0,0,53,0,0
64,90,0,56,44,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,56,0,0,0,0,0,0,0,0,0,0,0,100,0,53,0,0,0,0,73,0,0,62,45,0,0,71,0,0,0,0,76,0,0,0,69,0,0
86,58,0,0,45,0,73,47,0,0,0,35,0,0,0,0,0,35,0,0,50,0,0,0,0,0,0,0,0,0,0,0,72,0,62,0,0,0,0,63,0,0,73,49,0,0,72,100,0,0,0,89,0,0,0,96,0,0
71,82,0,0,33,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,51,0,71,0,84,0,0,48,0,0,65,100,0,0,50,0,0,0,0,72,0,0,0,100,0,0
100,57,0,0,50,0,100,48,0,0,0,0,0,0,0,0,0,75,0,0,66,0,0,0,77,0,0,0,0,0,0,0,61,0,49,0,0,0,0,36,0,0,76,41,0,0,63,0,0,0,0,100,71,0,0,69,0,0
72,51,0,50,37,0,0,39,0,0,100,0,0,0,0,0,0,47,0,0,51,0,0,0,0,0,0,49,0,0,0,0,84,0,78,73,0,0,0,59,0,0,80,76,0,0,58,0,0,0,0,94,0,0,0,72,0,0
64,61,0,0,45,0,0,0,0,0,0,0,0,0,0,0,52,50,0,0,54,0,0,0,0,0,0,0,55,0,0,0,94,0,86,0,0,0,0,42,0,0,78,66,0,100,92,0,0,0,0,68,56,0,0,68,0,0
85,78,0,57,45,0,69,36,0,0,0,0,0,0,0,0,0,65,0,0,54,0,0,0,0,0,0,0,0,0,0,0,52,0,63,0,0,0,0,70,0,0,0,41,0,0,100,0,0,0,0,76,0,0,0,70,0,0
88,57,0,45,38,0,43,0,0,0,0,0,0,0,0,0,41,49,0,0,57,0,0,0,90,0,0,0,0,0,0,0,38,0,56,0,0,0,0,50,0,0,64,36,0,0,71,0,0,0,0,99,0,0,0,62,0,0
63,42,0,36,44,0,60,42,0,0,63,0,0,0,0,0,43,96,0,0,46,0,0,0,77,0,0,0,0,0,0,0,62,0,77,0,0,0,0,74,0,0,100,40,0,0,57,0,0,0,0,62,0,0,0,73,0,0
73,67,0,47,45,0,53,0,0,0,0,0,0,0,0,0,41,47,0,0,68,100,0,0,0,0,0,0,0,0,0,0,58,0,81,0,0,0,0,68,0,0,82,54,0,0,62,82,0,0,0,77,0,0,0,80,0,0
72,61,0,54,42,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,51,0,0,0,81,0,0,0,0,0,0,0,50,0,0,0,0,0,0,45,0,0,88,0,0,0,47,61,0,0,0,80,50,0,0,72,0,0
70,96,0,68,49,0,39,0,0,18,0,0,0,0,0,0,42,28,0,0,47,0,0,0,68,0,0,0,73,0,0,0,46,0,75,0,0,0,0,47,0,0,84,49,0,0,70,0,0,0,0,100,0,0,0,75,0,0
71,68,0,71,44,0,54,27,0,0,55,8,0,0,0,0,44,34,0,0,43,0,0,0,0,0,0,46,0,0,0,0,52,0,53,0,0,0,0,69,0,0,64,41,0,0,65,0,0,0,0,83,64,0,0,62,0,0
75,43,0,83,40,0,0,28,0,18,0,7,0,0,0,0,0,35,0,0,51,0,0,0,0,0,0,0,0,0,0,0,63,0,71,0,0,0,0,53,0,0,65,49,0,0,73,0,0,0,0,91,0,0,0,89,0,0
76,49,0,80,39,0,52,31,0,0,0,0,0,0,0,0,0,43,0,0,54,0,0,0,0,0,0,0,0,0,0,0,49,0,64,0,0,0,0,49,0,0,93,63,0,0,65,0,0,0,0,87,0,0,0,71,0,0
71,51,0,81,40,0,42,32,0,0,79,0,0,0,0,0,32,43,0,0,59,0,0,0,0,0,0,47,0,0,0,0,31,0,62,41,0,0,0,67,0,0,59,58,0,0,63,0,0,0,0,77,44,0,0,50,0,0
56,66,0,65,41,0,37,32,0,0,58,6,0,0,0,0,42,31,0,0,63,0,0,0,62,0,0,46,0,0,0,0,38,0,47,40,0,0,0,44,0,0,91,37,0,0,65,0,0,0,0,97,0,0,0,59,0,0
61,38,0,61,41,0,47,32,0,12,51,0,0,0,0,0,35,30,0,0,47,0,0,0,0,0,0,0,46,0,0,0,44,0,65,0,0,0,0,48,0,0,73,46,0,0,95,53,0,0,0,71,45,0,0,46,0,0
65,60,0,54,41,0,0,44,0,0,0,0,0,0,0,0,0,30,0,0,48,0,0,0,0,0,0,34,0,0,0,0,42,0,79,38,0,0,0,46,0,0,88,27,0,0,89,0,0,0,0,57,49,0,0,61,0,0
51,50,0,44,41,0,42,23,0,15,0,0,0,0,0,0,40,54,0,0,54,0,0,0,52,0,0,0,55,0,0,0,37,0,66,46,0,0,0,49,100,0,74,56,0,0,48,47,0,0,0,81,45,0,0,48,0,0
59,35,0,51,39,0,50,25,0,19,0,0,0,0,0,0,52,54,0,0,63,0,0,0,39,0,0,0,41,0,0,0,55,0,63,0,0,0,0,54,0,0,46,33,0,0,67,46,0,0,0,74,0,0,0,66,0,0
55,60,0,54,37,0,63,30,0,23,0,0,0,0,0,0,46,49,0,0,48,0,0,0,0,0,0,0,0,0,0,0,54,0,62,40,0,0,0,51,0,0,85,40,0,0,57,44,0,0,0,58,0,0,0,47,0,0
66,46,0,52,41,0,57,44,0,25,0,0,0,0,0,0,29,26,0,0,48,91,0,0,49,0,0,0,0,0,0,0,36,0,61,35,42,0,0,46,0,0,58,54,0,0,70,0,0,0,0,58,41,0,0,64,0,0
52,61,0,45,33,0,0,29,0,25,50,4,0,0,0,0,28,28,0,0,50,59,0,0,41,0,0,20,37,0,0,0,38,0,91,31,0,0,0,41,0,0,70,48,0,0,54,0,0,0,0,70,44,0,0,57,0,0
50,54,0,47,35,0,47,0,0,14,33,0,0,0,0,0,46,27,0,0,54,0,0,0,0,0,0,20,41,0,0,72,42,0,84,26,0,0,0,43,0,0,79,41,0,0,72,35,0,0,0,65,64,0,0,66,0,0
59,38,100,46,33,0,28,15,0,0,32,6,0,0,0,0,35,39,0,0,54,0,0,0,60,0,0,29,0,0,0,0,42,0,81,28,0,0,0,52,0,0,58,31,0,0,67,40,0,0,0,42,32,0,0,58,0,0
56,40,0,68,34,0,39,23,0,0,32,0,0,0,0,0,39,33,0,0,50,0,0,0,0,0,0,0,72,0,0,0,39,0,78,0,0,0,0,48,0,0,54,26,0,0,51,0,0,0,0,39,37,0,0,67,0,0
55,62,0,44,39,0,50,20,0,10,39,0,0,0,0,0,40,38,0,0,60,54,0,0,0,0,0,23,46,0,0,0,36,0,80,25,0,0,0,37,0,0,56,33,0,0,79,0,0,0,0,58,0,0,0,56,0,0
51,58,0,45,33,0,46,19,0,14,35,0,0,0,0,0,47,43,0,0,63,0,0,0,35,0,0,28,25,0,0,100,42,0,85,28,45,0,0,52,0,0,62,42,0,0,58,0,0,0,0,53,26,0,0,64,0,0
55,56,0,65,36,0,39,31,0,17,29,0,0,0,0,0,26,27,0,0,59,0,0,0,39,0,0,19,39,0,0,60,31,0,74,0,24,0,0,48,0,0,77,44,0,0,75,37,0,0,0,52,34,0,0,59,0,0
58,60,0,38,40,0,47,16,0,13,39,4,0,0,0,0,29,46,0,0,60,0,0,0,0,0,0,34,31,0,0,0,38,0,76,31,30,0,0,54,0,0,35,38,0,0,69,30,0,0,0,49,34,0,0,62,0,0
56,56,67,57,42,0,40,24,100,8,40,0,0,0,0,0,29,36,0,0,57,0,0,0,0,0,0,39,26,0,0,0,37,0,67,24,0,0,0,50,0,0,64,35,0,0,69,36,0,0,0,60,31,0,0,54,0,0
53,49,0,55,36,0,53,27,0,15,29,0,0,0,0,0,79,47,0,0,58,0,0,0,34,0,0,15,27,0,0,45,47,0,71,27,18,86,0,54,0,0,49,45,0,0,71,51,0,0,0,61,31,0,0,63,0,0
53,61,0,42,34,0,50,32,0,9,54,0,0,0,0,0,57,35,0,0,59,52,0,0,32,0,0,29,29,0,0,41,46,0,64,0,21,0,0,54,0,0,73,37,0,0,68,31,0,0,0,53,34,0,21,60,0,0
55,43,0,46,39,0,46,28,0,26,34,0,0,0,0,0,39,41,0,0,50,0,0,0,65,0,0,30,43,0,0,35,39,0,79,19,25,0,0,49,0,0,54,30,0,0,62,22,0,0,0,53,40,0,22,64,0,0
60,54,0,65,40,0,47,33,0,19,29,3,0,0,0,0,31,38,0,0,58,0,0,0,42,0,0,31,0,0,0,64,42,0,65,30,27,0,0,52,42,0,54,31,0,0,65,41,0,0,0,60,35,0,27,61,0,0
55,54,57,65,39,0,35,25,0,20,29,6,0,0,0,0,43,32,0,0,55,28,0,0,40,0,0,54,39,0,0,0,40,0,61,23,35,0,0,48,57,0,59,32,0,0,76,36,0,0,0,55,26,0,27,62,73,0
51,49,0,56,37,44,45,38,0,16,30,7,0,0,0,77,36,26,0,0,46,34,0,0,40,0,0,55,32,0,0,35,44,0,64,0,29,49,0,46,0,0,66,38,0,0,58,32,0,0,0,56,28,0,18,65,0,0
