House for sale,Loan,current account,Textile,Unemployment,government,Hotels,Jobs,Birthday,Credit,revenue,M0,Economy News,Crisis,Manufacturing,Real estate,protest,deficit,Inflation,Travel,Aviation,Economic crisis,Interest,Car Loan,Weddings,FMCG,Fitness,budget,Tourism,subsidy,stock market,Recession,USAID,taxes,ehsaas program,World News,Politics,Cinema,trade,Financial crisis,CPI,Cars,Newspapers,Cigarette,House Loan,Food,LSM,Construction,PSB,Agriculture,mehngai,Fast Food,Business News,parliament,Investment,economic growth,elections
0,0,0,0,0,0,100,92,0,100,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,31,71,0,0,78,0,0,0,84,0,66,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,75,87,71,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,100,0,73,0,0,0,0,0,0,0,0,0,100,0,0,61,95,0,0,92,0,54,0,63,0,0,0,0,60,0,0
0,0,0,0,0,64,86,65,0,62,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,39,96,0,0,69,0,0,0,99,0,100,0,100,0,0,0,0,0,0,0
0,0,0,0,0,52,100,73,58,55,0,0,0,0,99,0,0,0,100,88,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,34,82,0,0,52,66,0,0,98,0,77,0,50,0,0,0,0,55,0,0
0,44,0,0,0,100,94,90,51,75,0,0,0,0,68,0,0,0,0,97,0,0,0,0,0,0,0,0,88,0,0,100,0,0,0,0,0,16,79,0,0,84,100,0,0,95,0,68,0,0,0,0,0,0,45,0,0
0,0,0,100,0,59,93,100,47,49,0,0,0,0,0,58,0,0,0,100,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,22,44,0,0,83,0,0,0,96,0,44,0,0,0,0,0,0,0,0,0
0,0,0,0,0,38,74,77,48,44,0,0,0,0,57,50,0,0,0,65,0,0,0,0,0,0,63,0,57,0,0,0,0,0,0,0,0,21,39,0,0,55,61,0,0,61,0,25,0,0,0,0,0,0,0,0,0
0,37,0,0,0,50,94,97,0,77,0,0,0,0,59,62,0,0,0,76,0,0,0,0,0,0,0,34,59,0,0,0,0,0,0,0,0,26,39,0,0,66,56,0,0,77,0,34,0,0,0,0,0,0,0,0,0
0,0,0,0,0,58,83,74,45,95,0,0,0,0,0,44,0,0,0,71,0,0,0,0,0,0,59,0,49,0,0,0,100,0,0,0,0,32,68,0,0,100,41,0,0,96,0,40,0,0,0,0,0,0,41,0,15
0,0,0,86,0,93,70,63,47,66,0,0,0,0,0,46,0,0,0,68,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,15,99,0,0,93,38,0,0,94,0,62,0,0,0,0,0,0,85,0,17
0,0,0,0,0,61,72,56,34,74,0,0,0,0,60,50,0,0,0,66,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,30,66,0,0,70,62,0,0,65,0,58,0,0,100,0,0,0,68,0,0
0,0,0,76,0,67,77,77,38,58,0,0,0,0,100,51,0,0,0,55,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,36,70,0,0,69,63,0,0,100,0,63,0,35,0,0,0,0,47,0,12
0,0,0,62,0,72,83,63,69,84,0,0,0,0,79,70,0,0,0,54,100,0,0,0,0,0,0,0,45,0,0,0,61,100,0,0,0,49,57,0,0,61,51,0,0,64,0,44,0,33,0,0,0,0,46,0,0
0,0,0,0,0,81,78,54,59,56,0,0,0,0,0,48,0,0,0,61,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,41,38,0,0,73,50,0,0,75,0,53,0,33,0,0,0,100,24,0,0
0,0,0,47,100,45,75,58,38,53,0,0,0,100,43,52,0,0,0,62,0,0,0,0,0,0,40,20,66,0,37,0,0,0,0,0,100,28,55,0,0,73,44,0,0,92,0,50,0,32,0,100,0,0,26,0,9
0,0,0,44,97,59,76,70,42,71,0,0,0,0,53,39,0,0,0,75,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,94,29,47,0,0,71,45,0,0,94,0,39,0,48,0,0,0,0,48,0,0
0,20,0,52,0,61,78,50,28,50,0,0,0,0,81,49,0,0,0,74,0,0,0,0,0,0,0,24,60,0,0,0,63,0,0,0,82,26,65,0,0,71,58,0,0,77,0,52,0,39,0,0,0,0,54,0,0
0,0,0,0,0,50,73,63,33,55,0,0,0,0,32,40,0,0,0,67,91,0,0,0,0,0,0,19,40,0,0,0,0,0,0,0,0,31,44,0,0,70,45,0,0,67,0,39,0,36,0,0,0,0,29,0,0
0,0,0,0,0,42,66,45,32,36,0,0,0,0,35,43,0,0,0,47,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,34,32,0,0,58,29,0,0,57,0,37,0,18,0,0,0,0,29,0,0
0,0,0,59,0,44,68,55,39,42,0,0,0,0,44,47,0,0,0,56,0,0,0,0,0,0,35,0,30,0,0,0,0,0,0,0,0,29,47,0,0,68,26,0,0,61,0,21,0,25,0,0,0,0,30,0,8
0,0,0,32,0,42,59,63,52,43,0,0,0,0,62,43,0,0,0,50,0,0,0,0,0,0,24,0,34,0,33,0,39,0,0,0,0,20,39,0,0,63,35,0,0,69,0,24,0,23,0,0,0,0,31,0,16
0,0,0,43,0,35,66,59,38,50,0,0,0,66,50,58,0,0,0,48,0,0,0,0,0,0,26,0,52,0,0,0,0,0,0,0,61,16,51,0,0,64,44,0,0,77,0,49,0,27,0,0,0,0,20,0,16
0,0,0,60,0,36,53,49,42,40,0,0,0,61,52,35,0,0,0,52,52,0,0,0,0,0,0,15,37,0,55,0,35,0,0,0,0,22,43,0,0,60,51,0,0,75,0,45,0,20,0,0,0,0,37,0,19
0,24,0,43,0,46,57,49,30,56,0,0,0,0,45,44,0,0,28,54,0,0,100,0,0,0,24,0,36,0,93,0,0,0,0,0,0,22,52,0,0,57,52,0,0,73,0,35,0,34,0,0,0,0,42,0,11
0,20,0,25,0,39,53,48,34,66,0,0,0,45,26,40,0,0,0,52,0,0,0,0,0,0,42,15,33,0,56,0,0,0,0,0,0,23,37,0,0,53,58,0,0,51,0,18,0,17,0,0,0,0,25,0,0
0,13,0,32,0,43,57,45,43,51,0,0,0,40,23,41,0,0,0,57,0,0,76,0,0,0,30,15,33,0,63,0,0,0,0,100,57,27,33,0,0,54,62,0,0,62,0,39,0,19,0,0,0,0,31,0,0
0,33,0,22,40,34,55,40,25,49,0,0,0,55,33,50,0,0,0,45,52,0,60,0,0,0,30,10,40,0,55,0,43,34,0,0,46,21,51,0,0,53,45,0,0,63,0,34,0,21,0,0,0,0,45,0,5
0,32,0,29,41,39,67,38,35,51,0,0,0,36,29,45,0,0,0,45,62,0,0,0,0,0,25,12,41,0,27,0,0,0,0,0,0,21,35,0,0,47,35,0,0,53,0,31,0,15,0,0,0,0,31,0,0
0,39,0,27,68,39,56,47,37,62,0,0,0,37,34,65,0,0,23,54,0,0,81,0,0,0,26,10,44,0,66,0,38,0,0,0,44,21,51,0,0,54,34,0,0,68,0,31,0,22,0,0,0,0,27,0,8
0,40,0,29,0,36,55,39,29,57,0,0,0,0,33,39,0,0,0,51,0,0,0,0,0,0,13,0,26,0,16,0,26,0,0,75,0,22,29,0,0,48,36,0,0,43,100,22,0,14,0,0,0,0,26,0,0
0,32,0,0,0,29,48,33,25,51,0,0,0,26,16,35,0,0,0,41,0,0,61,0,0,0,17,12,24,0,26,0,20,0,0,0,0,21,26,0,0,39,40,0,0,29,0,18,0,0,0,0,0,0,15,0,0
0,40,0,22,0,29,45,43,27,48,0,0,0,0,19,40,0,0,0,40,42,0,0,0,0,0,20,7,20,0,21,0,20,0,0,0,0,20,38,0,0,50,29,0,0,33,0,20,0,13,0,0,0,0,23,0,0
0,17,0,26,0,20,48,39,37,50,0,0,0,26,20,38,0,0,0,36,36,0,0,0,0,0,18,11,25,0,24,0,0,0,0,0,27,18,34,0,0,48,33,0,0,44,0,22,0,15,0,0,0,0,18,0,0
0,25,0,27,0,34,45,38,27,55,0,0,0,27,24,35,0,0,0,37,37,0,43,0,0,0,20,9,28,0,23,0,0,0,0,0,28,15,30,0,0,55,44,0,0,48,0,24,0,14,0,0,0,0,24,0,4
0,62,0,39,0,29,42,38,33,61,100,0,0,37,36,100,0,0,12,38,29,0,59,0,0,0,21,14,23,0,100,0,18,39,0,0,28,19,45,0,0,47,31,0,0,48,0,25,0,15,0,28,0,0,100,0,0
0,41,0,22,25,28,40,33,35,58,0,0,0,29,22,35,65,0,0,36,38,0,53,0,0,0,15,10,23,0,17,0,14,0,0,37,32,18,27,0,0,43,26,0,0,44,0,22,0,10,0,23,0,0,57,0,4
0,31,0,15,24,23,43,36,29,57,0,0,0,26,25,40,0,0,0,42,38,0,0,0,0,0,16,6,23,0,21,0,20,0,0,0,0,22,24,0,0,40,27,0,0,40,0,15,0,10,0,25,0,0,31,0,0
0,27,0,20,0,21,36,31,29,52,0,0,0,21,22,36,0,0,0,30,33,0,51,0,0,0,18,10,21,0,12,0,13,0,0,23,24,19,33,0,0,38,20,0,0,47,0,18,0,10,0,0,0,0,31,0,0
0,30,0,20,30,22,36,28,20,47,0,0,0,23,18,25,0,0,0,29,22,0,28,0,0,0,19,8,23,0,17,0,15,0,0,0,24,16,27,0,0,39,23,0,0,45,0,23,0,15,0,0,0,0,23,100,0
0,24,0,16,21,20,33,27,21,40,0,0,0,25,19,32,0,0,9,33,26,0,39,0,0,0,14,7,22,0,12,0,12,15,0,18,24,14,26,0,0,36,23,0,0,40,0,16,0,8,0,0,0,0,19,0,4
0,19,0,21,32,24,40,32,36,49,0,0,0,27,27,36,0,0,11,34,29,0,45,0,0,0,16,8,24,0,12,0,13,17,0,24,23,14,28,0,0,41,20,0,0,36,0,24,0,12,0,0,0,0,26,0,3
0,17,0,13,0,15,38,31,28,45,0,0,0,28,23,34,0,0,9,30,27,0,33,40,0,0,13,4,17,0,10,0,17,0,0,0,14,17,25,0,0,38,15,0,0,35,0,16,0,8,0,0,0,0,17,0,0
0,18,100,10,0,19,31,27,19,43,0,0,0,14,11,27,0,0,0,25,25,0,21,0,0,0,12,7,12,0,11,0,8,0,0,26,13,16,21,0,0,29,24,0,0,25,0,13,0,5,0,0,0,0,14,0,0
0,100,0,12,0,18,34,30,21,73,38,0,0,16,16,32,0,0,0,25,25,0,53,100,0,0,9,5,14,0,12,0,9,0,0,14,0,17,19,0,0,31,19,0,0,29,0,13,0,6,0,0,0,0,15,0,1
0,36,0,9,0,15,31,28,27,47,51,0,0,24,18,29,0,0,0,31,26,0,39,0,100,0,16,6,16,0,10,0,10,0,0,16,13,12,23,0,0,36,22,0,0,33,0,15,0,11,0,17,0,0,17,0,2
0,39,0,16,19,20,33,30,29,58,0,0,0,22,16,26,0,100,8,24,31,0,45,0,0,0,15,8,15,0,16,0,8,15,0,17,19,13,25,0,0,34,33,0,0,34,0,15,0,8,0,0,0,0,17,0,0
