date,Investment,government,USAID,BISP,parliament,Textile,subsidy,Birthday,Cars,mehngai,Financial crisis,Agriculture,protest,LSM,Inflation,Interest,Tourism,Business News,Cinema,economic growth,FMCG,budget,Recession,Aviation,Construction,Crisis,World News,PSB,Credit,Travel,deficit,revenue,Loan,Manufacturing,M0,House Loan,taxes,Economic crisis,Car Loan,Food,Weddings,Politics,current account,Jobs,elections,trade,Fast Food,Cigarette,Real estate,House for sale,Economy News,Newspapers,CPI,Fitness,Hotels,Unemployment,stock market
01/31/2010,35,51,35,0,0,0,0,14,34,0,18,44,0,0,37,40,30,0,25,27,0,56,0,45,45,77,32,0,17,33,0,26,20,19,0,0,0,0,0,56,54,22,0,86,0,33,0,0,24,0,0,80,0,0,48,39,30
02/28/2010,39,64,41,0,0,0,0,15,35,0,17,37,0,0,23,43,33,0,37,31,0,59,0,28,42,50,29,0,16,33,0,23,24,15,0,0,0,0,0,52,0,29,0,85,5,32,0,0,28,0,0,99,0,36,52,56,29
03/31/2010,45,64,44,0,12,10,0,20,32,0,0,41,0,0,37,47,38,0,27,27,0,66,14,42,49,95,28,0,17,31,0,26,19,20,0,0,72,37,0,63,59,41,0,100,4,34,0,0,33,0,0,100,0,30,55,66,32
04/30/2010,38,56,39,0,0,14,0,19,36,0,17,35,0,0,29,49,40,0,31,25,0,53,0,34,38,56,33,0,17,38,0,18,17,17,0,0,0,0,0,54,57,32,0,92,7,29,0,0,24,0,0,95,0,0,47,44,41
05/31/2010,37,57,39,0,17,0,0,22,32,0,0,53,0,0,69,39,37,0,41,33,67,66,0,32,44,50,44,0,18,36,0,19,14,16,0,0,0,31,0,59,76,36,0,85,9,35,0,0,28,0,0,92,0,35,57,38,36
06/30/2010,40,66,21,0,0,11,0,19,33,0,0,50,0,0,53,50,33,0,29,31,0,62,0,37,44,39,69,0,18,27,0,35,20,17,0,0,0,0,0,56,81,33,0,88,6,35,0,0,26,0,0,82,0,0,62,41,31
07/31/2010,27,56,30,0,0,15,0,16,25,0,0,44,0,0,28,34,21,0,28,24,0,38,11,32,35,27,64,0,14,24,0,15,16,14,0,0,0,0,0,48,0,28,0,62,4,28,34,0,20,0,0,58,0,33,34,52,13
08/31/2010,25,54,43,0,9,8,0,16,24,0,0,30,0,0,28,35,22,14,23,21,70,41,9,32,28,27,39,0,13,23,0,19,13,16,0,0,0,0,0,41,48,24,0,71,7,25,0,0,22,7,0,56,0,28,36,39,17
09/30/2010,27,51,18,0,0,12,0,19,26,0,12,34,0,0,38,33,24,17,25,28,0,32,0,26,31,34,36,0,14,24,0,16,18,15,0,0,0,0,0,48,0,33,0,69,7,24,33,0,17,9,0,68,0,24,37,37,22
10/31/2010,28,50,23,0,0,6,0,21,23,0,0,36,0,0,29,30,22,9,18,22,0,28,9,25,28,27,34,0,11,21,0,14,12,10,0,0,38,0,0,46,32,30,0,60,5,29,0,0,15,0,0,62,0,34,31,35,15
11/30/2010,26,49,23,0,0,8,0,18,22,0,0,37,0,0,37,30,19,12,19,28,0,34,0,24,29,24,37,0,11,20,0,18,15,12,0,0,43,0,0,43,39,31,0,55,7,23,44,0,15,8,0,60,0,23,31,34,14
12/31/2010,21,39,16,0,0,8,0,18,21,0,0,30,0,0,32,29,20,0,22,24,0,40,9,23,22,35,32,0,12,21,0,23,14,11,0,0,0,0,0,40,28,34,0,59,6,19,0,0,14,0,0,68,0,31,30,35,14
01/31/2011,28,49,24,0,4,9,0,18,29,0,7,29,3,0,31,39,22,10,23,25,23,48,5,37,32,49,36,0,13,25,19,15,18,12,0,0,46,7,0,51,62,39,62,70,12,25,31,69,25,7,0,79,0,25,35,37,18
02/28/2011,29,62,18,0,7,12,0,20,26,0,12,42,9,0,34,39,26,13,20,33,0,50,0,40,37,64,42,0,13,26,0,18,17,17,0,0,45,0,0,53,61,38,70,70,11,29,22,0,23,7,0,78,0,33,38,42,22
03/31/2011,28,70,22,0,7,11,0,22,25,0,5,41,4,0,39,51,23,14,25,33,19,49,0,34,35,67,53,0,14,28,40,22,19,15,0,0,49,6,0,56,67,46,69,70,19,27,39,0,24,5,0,73,0,30,38,53,17
04/30/2011,27,49,18,0,6,10,0,24,25,0,8,35,2,0,32,39,23,9,34,31,22,37,6,26,30,72,43,0,13,25,25,16,15,14,0,0,37,7,0,51,65,41,0,68,100,24,24,74,19,0,0,95,0,26,38,52,16
05/31/2011,27,60,34,0,5,8,0,27,26,0,8,38,0,0,40,40,23,10,37,31,30,40,9,31,35,38,55,0,14,30,18,20,17,15,0,0,61,12,0,54,60,35,0,60,17,26,38,79,24,9,0,78,0,28,37,47,19
06/30/2011,26,66,18,0,9,8,0,26,25,0,5,43,1,0,42,41,21,11,34,29,25,48,5,33,35,31,45,0,15,26,20,22,16,15,0,0,27,8,0,55,56,31,71,60,6,24,29,0,21,8,0,79,0,27,36,42,24
07/31/2011,29,67,19,0,6,8,1,25,25,0,5,48,1,0,33,53,20,8,40,35,35,44,4,29,34,32,53,0,14,25,26,21,17,15,0,0,39,0,0,50,56,24,60,59,5,26,27,79,20,9,0,79,0,29,41,45,26
08/31/2011,26,65,21,0,7,7,0,23,24,0,5,51,1,0,30,41,24,9,35,26,27,36,8,31,32,42,49,0,14,25,20,18,14,15,0,0,48,0,0,48,63,25,50,61,4,23,26,0,22,7,0,76,0,28,36,37,18
09/30/2011,27,62,23,0,4,8,0,27,25,0,5,46,1,0,31,38,20,13,27,27,22,35,6,31,30,39,44,0,14,23,18,17,15,15,0,0,28,0,0,49,80,23,0,54,4,25,27,58,20,8,0,79,0,31,39,46,12
10/31/2011,26,67,20,0,5,8,5,25,25,0,7,41,2,0,32,44,23,12,32,29,21,29,5,30,30,30,41,0,14,23,29,19,15,14,0,0,31,0,0,51,48,23,43,65,8,24,28,63,20,8,0,70,0,29,38,40,16
11/30/2011,25,65,11,0,4,8,6,23,22,0,8,44,2,0,35,37,19,12,27,26,27,29,4,27,28,31,34,65,12,20,29,19,13,14,0,0,40,9,0,52,59,29,44,47,4,26,36,0,19,5,0,68,0,25,32,44,13
12/31/2011,16,47,13,0,5,6,10,20,17,0,5,31,2,0,23,27,13,7,26,17,11,50,2,18,18,23,36,0,9,16,25,12,10,8,0,0,30,5,0,36,24,22,51,35,4,16,18,31,12,3,78,60,0,16,18,32,8
01/31/2012,13,60,12,0,3,5,100,17,16,0,0,28,31,0,23,20,12,9,19,15,18,62,2,17,15,37,40,0,8,15,14,12,10,8,0,0,24,4,0,38,31,18,48,35,2,16,20,39,10,4,78,76,0,23,16,25,7
02/29/2012,17,68,10,0,4,6,17,20,16,0,3,46,2,0,36,32,17,8,17,26,13,38,4,20,23,25,34,0,10,15,29,18,10,10,0,0,35,4,0,50,33,26,50,38,4,24,32,50,12,4,59,63,0,31,20,43,11
03/31/2012,19,71,12,0,6,6,10,21,16,0,4,47,2,4,34,37,18,8,17,32,15,41,3,18,27,26,31,0,10,15,34,19,10,10,0,0,41,5,0,54,40,31,62,35,3,25,23,48,11,4,0,53,0,25,18,55,10
04/30/2012,17,84,8,0,3,6,7,21,15,0,3,50,2,0,38,35,16,6,21,22,15,38,2,18,23,23,36,0,10,15,24,20,11,10,0,0,41,4,0,51,43,24,39,34,3,23,19,42,10,4,0,44,0,23,18,41,10
05/31/2012,18,68,9,0,6,7,5,22,14,0,2,61,4,0,35,37,17,8,23,27,18,36,4,17,25,27,38,0,10,15,40,16,11,10,0,0,41,5,0,45,40,27,44,34,3,28,21,45,10,3,0,45,0,25,17,47,10
06/30/2012,17,79,7,0,6,8,5,18,14,0,3,57,3,0,37,33,14,9,18,24,14,32,4,22,21,42,44,0,9,14,33,13,9,9,0,0,36,5,0,47,31,28,57,31,3,22,20,51,10,3,0,44,0,20,16,52,9
07/31/2012,20,73,11,0,5,5,3,17,15,0,4,51,2,0,40,36,16,11,24,26,11,30,3,17,23,39,41,0,9,15,21,15,10,10,0,0,29,6,0,49,34,26,60,34,4,21,29,45,10,3,0,45,0,20,19,39,13
08/31/2012,18,59,10,0,4,7,2,19,15,0,2,38,1,0,33,29,15,11,22,25,11,30,2,16,22,25,41,0,9,14,18,14,12,9,0,0,24,0,0,47,34,20,51,32,2,20,22,54,10,5,53,44,33,21,19,40,9
